OBJECTID,PHpH,ALK_MGL,COND_USCM,BOD_MGL,NO2_N_MGL,CUSOL1_MGL,CUSOL2_UGL,FESOL1_UGL,ZN_SOL_UGL
115501,7,13,84,2.4,0.005,0.0011,1,692.42,5
115502,7.5,21,101,2,0.005,0.0025,4.55,689.44,5
115902,8.6,83,231,3.4,0.008,,2.01,182.45,5
115933,8.1,92,270,2,0.005,0.0011,2.15,180.58,5
115934,7.9,95,279,2,0.011,0.0029,2.61,207.82,5
116149,8,88,244,2.4,0.007,,1.98,145.29,5
116180,8,93,277,2,0.007,0.001,1.81,188.01,5
116181,7.9,95,288,2.1,0.016,0.0027,1.96,194.96,5
116826,7.6,87,243,2,0.007,,1.97,185.04,5
116859,7.9,88,281,2,0.014,0.0027,2.28,177.87,5
117231,7.7,88,243,2,0.006,,2.11,189.31,5
117263,7.9,89,282,2,0.015,0.0028,9.2,202,5
119072,7.8,89,244,2,0.006,,2.01,151.42,5
119105,7.9,94,299,2,0.024,0.001,2.17,179.87,5
119571,7.8,45,148,2,0.007,0.001,1,558.13,5
120094,7.5,43,146,2.1,0.01,0.0014,1.1,777.01,5
120095,7.6,50,164,2,0.007,0.0012,0.89,779.06,5
120718,7.5,99,269,2,0.009,0.0022,1.82,591.19,5
121377,7.7,99,270,2,0.009,0.001,1.64,521.81,5
121378,7.9,126,327,2,0.007,0.0019,1.42,467.36,5
121882,7.6,52,164,2,0.008,0.0016,2.84,699.95,5
122258,7.8,99,271,2,0.009,0.0013,1.69,566.59,5
122955,7.7,127,339,2,0.011,0.0012,2.45,397.28,5
122956,7.8,152,394,2,0.009,0.0027,1.7,372.2,5
124077,7.8,120,329,2,0.014,0.0034,1.15,180.38,5
124831,7.8,169,448,2,0.023,,1.83,233.38,5
125717,7.3,66,183,2,0.009,0.0022,1.7,656.66,5
125743,7.6,48,163,2,0.008,,2.47,556.42,5
125992,8,164,381,2,0.008,,0.6,301.67,5
125993,7.8,54,152,2,0.006,0.0032,0.88,455.78,5
126025,7.7,91,525,2,0.011,0.002,1.07,527.6,5
126026,7.6,63,192,2,0.011,,1.49,454.31,5
126175,7.8,176,395,2,0.012,0.0019,1.46,512.67,5
126201,7.7,137,357,2,0.024,,2.64,354.88,5
126515,7.7,88,256,2,0.007,,0.67,210.92,5
126516,7.6,81,238,2,0.011,0.0023,2.27,401.07,5
126547,7.6,73,226,2,0.01,0.002,1,272.4,5
126548,7.5,67,216,2,0.012,,1.03,307.24,5
126697,7.9,161,401,2,0.014,0.0056,1.45,387.45,5
126723,7.6,131,359,2,0.013,,2.02,337.75,5
127126,8,122,307,2,0.006,0.0055,1.09,348.72,5
127152,7.8,107,285,2,0.01,,1.73,480.41,5
127540,8,163,394,2,0.011,,0.83,396.83,5
127541,7.8,73,205,2.4,0.013,0.0056,1.74,437.04,5
127572,7.8,109,302,2,0.019,0.0015,1.41,440.43,5
127573,7.7,93,268,2,0.021,,1.64,450.47,5
128194,7.9,32,111,2.5,0.006,0.0064,1.21,598.49,5
128220,7.6,30,119,2,0.007,,1.57,587.91,5
128583,8,123,308,2,0.011,,0.75,260.6,5
128584,7.8,83,228,2.1,0.014,0.0092,1.57,401.84,5
128615,7.8,87,254,2,0.014,0.0018,1.05,300.8,5
128616,7.8,79,241,2,0.024,,1.15,349.43,5
129273,7.8,66,188,2.4,0.007,0.0019,0.94,644.76,6.42
129299,7.6,51,165,2,0.01,,1.32,551.75,5
129659,7.7,88,232,2.1,0.008,0.0033,1.19,410.74,5
129685,7.5,112,310,2,0.017,,1.66,417.72,5
129857,7.9,115,282,2,0.01,,2.76,468.67,5
129883,7.9,105,283,2,0.01,,3.32,423.45,62.94
129977,7.9,44,135,2,0.008,0.0019,1.73,633.67,5
130003,7.7,42,135,2,0.006,,1.79,591.19,5
130375,8,201,478,2,0.011,,1.39,109.4,5
130376,8.3,228,562,4,0.013,0.0027,1.07,50,5
130407,7.6,112,342,2.3,0.027,0.0011,2.73,216.32,5
130408,7.8,159,431,2,0.021,0.0011,1.99,147.59,5
131168,7.8,87,227,2,0.01,0.0025,2.04,392.72,5
131194,7.8,93,259,2,0.01,0.0011,2.28,439.51,5
131556,7.8,154,362,4.8,0.015,0.0028,2.48,223.63,5
131582,7.9,207,496,2,0.015,0.001,1.79,233.81,5
132536,7.8,97,246,2,0.005,0.001,0.72,345.46,5
132569,7.6,92,246,2,0.007,,0.95,715.32,5
133343,8,60,184,2,0.005,,1.03,200.55,5
133374,7.8,65,188,2,0.005,0.0042,1.47,264.86,5
133375,7.7,69,193,2,0.005,0.0014,1.61,266.52,5
133836,7.7,53,174,2,0.005,0.0021,1.11,235.41,5
134374,7.7,48,163,2,0.005,,0.92,178.24,5
134405,7.7,36,134,2,0.005,0.0037,1.38,191.87,5
134406,7.5,36,122,2,0.005,0.0012,1,370.16,5
134856,7.8,31,129,2,0.006,,0.49,610.72,5
134887,7.6,26,113,2.6,0.007,0.0018,1,809.12,5
134888,7.4,14,72,2,0.008,0.0014,0.53,637.89,5
135232,8.1,88,218,2,0.005,,0.43,60.59,5
135263,8,65,170,2,0.005,0.0025,2.26,356.56,5
135264,7.9,40,111,2,0.005,,1.72,359.15,5
136320,7.9,102,270,2.4,0.01,,0.67,433.16,5
136352,7.8,96,255,2,0.008,0.001,1,639.61,5
136353,7.6,82,218,2,0.007,,0.93,462.01,5
138175,8.1,138,334,2,0.005,,0.32,221.66,5
138206,7.9,87,227,2.6,0.006,0.0012,1,568.63,5
138207,7.8,47,137,2.1,0.007,0.001,1.5,538.28,5
138456,7.8,144,366,2.3,0.019,0.0025,1.78,353.93,5
138482,7.7,121,347,3.4,0.022,0.0015,2.14,321.74,5
139011,7.9,159,415,2.1,0.028,0.0029,1.59,143.39,5
139037,7.7,148,422,2,0.027,0.001,2.12,210.32,5
139209,7.9,32,116,2.1,0.007,,1.28,598.7,5
139235,7.5,27,110,2,0.007,0.0018,1.54,597.37,5
139373,7.9,172,392,3,0.007,0.0027,1.64,252.11,5
139399,7.6,164,411,2,0.014,0.0018,1.83,326.92,5
139599,8.1,43,161,2.3,0.005,,0.77,139.13,5
139630,7.8,50,170,2,0.005,0.001,1,128.04,5
139631,7.7,49,163,2,0.005,0.0026,0.72,127.76,5
139916,8.2,183,421,2.1,0.005,,0.78,50,5
139947,8.1,139,352,2,0.005,0.001,1,50,5
139948,8.1,166,398,2,0.01,0.0028,12.71,50,5
140052,7.9,227,528,3.6,0.038,0.0028,1.66,237.93,5
140078,7.9,188,453,2,0.016,0.001,2.46,305.24,5
140108,7.8,65,180,2.3,0.008,0.0034,1.37,478.08,5
140134,7.6,79,239,2,0.015,0.002,1.82,502.39,5
140194,7.6,46,149,2,0.008,0.0016,1,621.29,5
140269,7.9,89,235,2,0.007,0.0047,1.28,422.34,5
140295,7.7,54,173,2,0.009,,1.08,344.85,5
140365,7.9,128,319,2.2,0.007,,0.71,256.17,5
140397,7.8,128,316,2,0.008,0.0011,1.05,370.65,5
140398,7.6,102,264,2,0.01,0.0016,1.12,365.84,5
140498,7.9,54,168,2.6,0.005,0.0015,1.26,160.78,5
140499,7.7,59,178,2,0.005,0.0018,1.16,172.36,5
140804,7.5,57,246,2,0.025,0.0017,4.91,530.88,5
140805,7.3,64,289,2.1,0.027,0.001,4.17,424.07,6.06
141047,7.5,68,264,2,0.013,0.0016,5.72,428.34,5
141294,7.7,46,194,2,0.017,0.0012,7.06,240.55,5
